2023-03-23 12:56:53:5653 [Debug]  /login.js: 2ms.
2023-03-23 12:57:04:574 [Debug]  /index.html: 60ms.
2023-03-23 12:57:04:574 [Debug]  /login.js: 2ms.
2023-03-23 12:57:15:5715 [Debug]  /Users/Login: 151ms.
2023-03-23 12:58:59:5859 [Debug]  /index.html: 2ms.
2023-03-23 12:58:59:5859 [Debug]  /login.js: 7ms.
2023-03-23 12:59:32:5932 [Debug]  /index.html: 2ms.
2023-03-23 12:59:32:5932 [Debug]  /login.js: 3ms.
2023-03-23 12:59:46:5946 [Debug]  /index.html: 1ms.
2023-03-23 12:59:46:5946 [Debug]  /login.js: 7ms.
2023-03-23 12:59:51:5951 [Debug]  /index.html: 2ms.
2023-03-23 12:59:51:5951 [Debug]  /login.js: 0ms.
2023-03-23 12:59:58:5958 [Debug]  /Users/Login: 8ms.
2023-03-23 01:02:07:27 [Debug]  /index.html: 5ms.
2023-03-23 01:02:07:27 [Debug]  /login.js: 1ms.
2023-03-23 01:03:36:336 [Debug]  /index.html: 2ms.
2023-03-23 01:03:36:336 [Debug]  /login.js: 4ms.
2023-03-23 01:03:48:348 [Debug]  /index.html: 1ms.
2023-03-23 01:03:48:348 [Debug]  /login.js: 1ms.
2023-03-23 01:04:00:40 [Debug]  /Users/Login: 3ms.
2023-03-23 01:04:09:49 [Debug]  /index.html: 1ms.
2023-03-23 01:04:09:49 [Debug]  /login.js: 5ms.
2023-03-23 01:04:14:414 [Debug]  /index.html: 1ms.
2023-03-23 01:04:14:414 [Debug]  /login.js: 0ms.
2023-03-23 01:04:24:424 [Debug]  /Users/Login: 0ms.
2023-03-23 01:05:35:535 [Debug]  /index.html: 1ms.
2023-03-23 01:05:35:535 [Debug]  /login.js: 2ms.
2023-03-23 01:07:04:74 [Debug]  /index.html: 1ms.
2023-03-23 01:07:04:74 [Debug]  /login.js: 1ms.
2023-03-23 01:07:15:715 [Debug]  /index.html: 3ms.
2023-03-23 01:07:15:715 [Debug]  /login.js: 7ms.
2023-03-23 01:07:19:719 [Debug]  /index.html: 1ms.
2023-03-23 01:07:19:719 [Debug]  /login.js: 0ms.
